med_display_name,rxnorm_concat,med_dose_unit_desc,ingredient_concept_id,variable_name
enalapril (VASOTEC) oral liquid 1.94 mg,| 858804 |,mg,1341927,aceis_arbs
atorvastatin (LIPITOR) 80 MG tablet,| 259255 |,mg,1545958,aceis_arbs
furosemide (LASIX) injection 31 mg,| 727575 |,mg,956874,aceis_arbs
furosemide (LASIX) 500 mg in 50 mL *Hi Conc* infusion,| 727575 |,mg/hr,956874,aceis_arbs
furosemide (LASIX) 40 MG/4 ML injection 80 mg,| 727575 |,mg,956874,aceis_arbs
losartan (COZAAR) tablet 100 mg,| 979485 |,mg,1367500,aceis_arbs
rosuvastatin (CRESTOR) tablet 40 mg,| 859747 |,mg,1510813,aceis_arbs
furosemide (LASIX) 200 mg in 0.9 % NaCl 100 mL infusion,| 313002 | 727575 |,mg/kg/hr,956874,aceis_arbs
"furosemide (LASIX) 1,000 mg in 0.9 % NaCl 100 mL infusion",| 313002 | 727575 |,mg/hr,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg combination",| 199903 | 314077 |,tablet,1308216,aceis_arbs
valsartan (DIOVAN) tablet 20 mg,| 349483 |,mg,1308842,aceis_arbs
"bisoprolol (ZEBETA) 2.5 mg, bisoprolol (ZEBETA) 5 mg",| 854905 |,mg,1338005,aceis_arbs
*nebivolol (BYSTOLIC) tablet 20 mg - PATIENT SUPPLIED,| 827073 |,mg,1314577,aceis_arbs
valsartan (DIOVAN) tablet 80 mg,| 349199 |,mg,1308842,aceis_arbs
metolazone (ZAROXOLYN) tablet 30 mg,| 311671 |,mg,907013,aceis_arbs
irbesartan-hydroCHLOROthiazide (AVALIDE) 300-12.5 MG per tablet 1 tablet,| 310793 |,tablet,974166,aceis_arbs
lisinopril (ZESTRIL) tablet 12.5 mg,| 311353 | 314076 |,mg,1308216,aceis_arbs
chlorthalidone (HYGROTEN) tablet 50 mg,| 197500 |,mg,1395058,aceis_arbs
lisinopril (ZESTRIL) tablet 1.25 mg,| 311353 |,mg,1308216,aceis_arbs
furosemide (LASIX) 20 MG/2 ML injection 40 mg,| 727575 |,mg,956874,aceis_arbs
triamterene-hydroCHLOROthiazide (MAXZIDE-25) 37.5-25 MG per tablet 1 tablet,| 310812 |,tablet,974166,aceis_arbs
bumetanide (BUMEX) injection 0.5125 mg,| 282486 |,mg,932745,aceis_arbs
spironolactone (ALDACTONE) oral liquid 6 mg,| 198222 |,mg,970250,aceis_arbs
enalaprilat (VASOTEC) injection 5 mg,| 3829 |,mg,1342001,aceis_arbs
furosemide (LASIX) injection 25.1 mg,| 727575 |,mg,956874,aceis_arbs
irbesartan (AVAPRO) tablet 150 mg,| 200096 |,mg,1347384,aceis_arbs
chlorothiazide (DIURIL) injection 500 mg,| 484152 |,mg,992590,aceis_arbs
benazepril (LOTENSIN) tablet 20 mg **patient's own medication**,| 898690 |,mg,1335471,aceis_arbs
bisoprolol (ZEBETA) tablet 20 mg,| 854905 |,mg,1338005,aceis_arbs
furosemide (LASIX) injection 22 mg,| 727575 |,mg,956874,aceis_arbs
spironolactone (ALDACTONE) oral liquid 300 mg,| 198222 |,mg,970250,aceis_arbs
furosemide (LASIX) 500 mg in 0.9% NaCl 50 mL **Hi Conc** Infusion,| 313002 | 727575 |,mg/hr,956874,aceis_arbs
sacubitril-valsartan (ENTRESTO) 12-13 MG tablet,| 1656340 |,tablet,1308842,aceis_arbs
furosemide (LASIX) 40 mg in 0.9 % NaCl 50 mL ivpb,| 313002 | 727575 |,mg,956874,aceis_arbs
"amLODIPine (NORVASC) 10 mg, atorvastatin (LIPITOR) 40 mg (COMBO medication)",| 308135 | 617311 |,mg,1545958,aceis_arbs
bumetanide 25 mg in 0.9 % NaCl 100 mL infusion,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
olmesartan (BENICAR) tablet 10 mg,| 349373 |,mg,40226742,aceis_arbs
"losartan (COZAAR) 50 mg, hydrochlorothiazide (HYDRODIURIL) 12.5 mg combination",| 429503 | 979492 |,each,1367500,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg combination",| 199903 | 314077 |,each,1308216,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 2.5 mg",| 311354 |,mg,1308216,aceis_arbs
furosemide (LASIX) injection 27 mg,| 727575 |,mg,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL), hydroCHLOROthiazide (MICROZIDE) (COMBO medication)",| 199903 | 314077 |,tablet,1308216,aceis_arbs
irbesartan (AVAPRO) tablet 150 mg,| 200095 |,mg,1347384,aceis_arbs
valsartan (DIOVAN) tablet 360 mg,| 349201 | 349483 |,mg,1308842,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 10 mg",| 314077 |,mg,1308216,aceis_arbs
bumetanide (BUMEX) 5 mg in 0.9 % NaCl 100 mL infusion,| 282486 | 313002 |,mg/hr,932745,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 7.5 mg",| 311353 | 311354 |,mg,1308216,aceis_arbs
furosemide (LASIX) injection 60 mg,| 727575 |,mg,956874,aceis_arbs
chlorothiazide (DIURIL) 430.08 mg in sterile water 15.36 mL IV,| 107129 | 484152 |,mg,992590,aceis_arbs
losartan (COZAAR) tablet 150 mg,| 979492 |,mg,1367500,aceis_arbs
indapamide (LOZOL) tablet 1.25 mg,| 197816 |,mg,978555,aceis_arbs
spironolactone (ALDACTONE) tablet 62.5 mg,| 313096 |,mg,970250,aceis_arbs
captopril (CAPOTEN) oral liquid 12.5 mg,| 308963 |,mg,1340128,aceis_arbs
chlorthalidone (HYGROTON) tablet 75 mg,| 197499 |,mg,1395058,aceis_arbs
valsartan (DIOVAN) tablet 160 mg,| 349201 |,mg,1308842,aceis_arbs
chlorothiazide (DIURIL) suspension 240 mg,| 309198 |,mg,992590,aceis_arbs
sacubitril-valsartan (ENTRESTO) 24-26 MG tablet 4 tablet,| 1656340 |,tablet,1308842,aceis_arbs
rosuvastatin (CRESTOR) tablet 5 mg,| 859747 |,mg,1510813,aceis_arbs
bumetanide (BUMEX) injection 2.5 mg,| 282486 |,mg,932745,aceis_arbs
atorvastatin (LIPITOR) tablet 80 mg,| 617311 |,mg,1545958,aceis_arbs
amLODIPine-Olmesartan 5-20 MG TABS 10-20 mg,| 730869 |,mg,40226742,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 45 mg",| 197884 | 311354 |,mg,1308216,aceis_arbs
ramipril (ALTACE) capsule 10 mg,| 198189 |,mg,1334456,aceis_arbs
furosemide (LASIX) injection 22.1 mg,| 727575 |,mg,956874,aceis_arbs
torsemide (DEMADEX) tablet 100 mg,| 198371 |,mg,942350,aceis_arbs
bumetanide 50 mg in 0.9 % NaCl 500 mL infusion,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
valsartan-hydrochlorothiazide (DIOVAN-HCT) 80-12.5 MG per tablet 1 Tablet,| 200284 |,tablet,1308842,aceis_arbs
chlorthalidone (HYGROTON) tablet 25 mg,| 197499 |,mg,1395058,aceis_arbs
irbesartan (AVAPRO) tablet 75 mg,| 200094 |,mg,1347384,aceis_arbs
0.9 % NaCl 100 mL with furosemide 900 mg infusion,| 313002 | 727575 |,ml/hr,956874,aceis_arbs
ramipril (ALTACE) capsule 7.5 mg,| 198189 | 845488 |,mg,1334456,aceis_arbs
atorvastatin (LIPITOR) 40 MG tablet,| 617311 |,mg,1545958,aceis_arbs
aMILoride (MIDAMOR) tablet 10 mg,| 977880 |,mg,991382,aceis_arbs
valsartan-hydrochlorothiazide (DIOVAN-HCT) 160-12.5 MG per tablet 1 Tablet,| 200285 |,tablet,974166,aceis_arbs
enalapril (VASOTEC) oral liquid 7.5 mg,| 858804 |,mg,1341927,aceis_arbs
"losartan (COZAAR) 100 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 979480 |,each,1367500,aceis_arbs
INV furosemide (RenalGuard) injection 33.3 mg,| 727575 |,mg,956874,aceis_arbs
bumetanide (BUMEX) injection 1-2 mg,| 282486 |,mg,932745,aceis_arbs
sacubitril-valsartan (ENTRESTO) 24-26 MG tablet 1 tablet,| 1656340 |,tablet,1308842,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 25 mg",| 314076 |,mg,1308216,aceis_arbs
furosemide (LASIX) 20 MG/2 ML oral liquid 20 mg,| 197730 |,mg,956874,aceis_arbs
furosemide (LASIX) injection 39.4 mg,| 727575 |,mg,956874,aceis_arbs
nebivolol (BYSTOLIC) 30 mg,| 387013 | 827073 |,mg,1314577,aceis_arbs
losartan (COZAAR) tablet 162.5 mg,| 979480 | 979485 | 979492 |,mg,1367500,aceis_arbs
bumetanide (BUMEX) injection 1.5 mg,| 282486 |,mg,932745,aceis_arbs
aMILoride (MIDAMOR) tablet 20 mg,| 977880 |,mg,991382,aceis_arbs
atorvastatin (LIPITOR) 60 mg,| 617310 | 617311 |,mg,1545958,aceis_arbs
torsemide (DEMADEX) tablet 60 mg,| 198371 |,mg,942350,aceis_arbs
chlorthalidone (HYGROTEN) tablet 12.5 mg,| 197499 |,mg,1395058,aceis_arbs
losartan (COZAAR) tablet 125 mg,| 979485 | 979492 |,mg,1367500,aceis_arbs
furosemide (LASIX) tablet 160 mg,| 313988 |,mg,956874,aceis_arbs
chlorothiazide (DIURIL) 250 mg in sterile water 8.93 mL IV,| 107129 | 484152 |,mg,992590,aceis_arbs
furosemide (LASIX) oral solution 48 mg,| 197730 |,mg,956874,aceis_arbs
furosemide (LASIX) injection 42.8 mg,| 727575 |,mg,956874,aceis_arbs
lisinopril (ZESTRIL) tablet 2.5 mg,| 311353 |,mg,1308216,aceis_arbs
chlorothiazide (DIURIL) 400 mg in sterile water 14.29 mL IV,| 107129 | 484152 |,mg,992590,aceis_arbs
atorvastatin (LIPITOR) tablet 40 mg,| 617310 |,mg,1545958,aceis_arbs
bumetanide (BUMEX) tablet 0.25 mg,| 197417 |,mg,932745,aceis_arbs
hydroCHLOROthiazide (HYDRODIURIL) oral liquid 6.26 mg,| 197770 |,mg,974166,aceis_arbs
furosemide (LASIX) 250 mg in 0.9 % NaCl 250 mL infusion,| 313002 | 727575 |,mg/hr,956874,aceis_arbs
quinapril-hydroCHLOROthiazide (ACCURETIC) 20-25 MG per tablet 1 tablet,| 310809 |,tablet,1331235,aceis_arbs
spironolactone (ALDACTONE) sugar-free oral liquid 50 mg,| 198222 |,mg,970250,aceis_arbs
furosemide (LASIX) injection 6 mg,| 727575 |,mg,956874,aceis_arbs
bisoprolol (ZEBETA) tablet 20 mg,| 854901 |,mg,1338005,aceis_arbs
0.9 % NaCl 500 mL with furosemide 500 mg infusion,| 313002 | 727575 |,ml/hr,956874,aceis_arbs
metoprolol-hydroCHLOROthiazide (LOPRESSOR HCT) 100-25 MG per tablet 1 tablet,| 866479 |,tablet,974166,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL), hydroCHLOROthiazide (MICROZIDE) (COMBO medication)",| 199903 | 314077 |,tablet,974166,aceis_arbs
losartan-hydroCHLOROthiazide (HYZAAR) 50-12.5 MG per tablet 1 tablet,| 979468 |,tablet,974166,aceis_arbs
*** sacubitril-valsartan (ENTRESTO) 97-103 MG 1 tablet - HOME MED,| 1656354 |,tablet,1308842,aceis_arbs
torsemide (DEMADEX) tablet 120 mg,| 198370 | 198371 |,mg,942350,aceis_arbs
ramipril (ALTACE) capsule 20 mg,| 198189 |,mg,1334456,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 10-20 mg",| 314076 |,mg,1308216,aceis_arbs
valsartan (DIOVAN) tablet 240 mg,| 349199 | 349201 |,mg,1308842,aceis_arbs
furosemide (LASIX) 20 mg in 0.9 % NaCl 50 mL ivpb,| 313002 | 727575 |,mg,956874,aceis_arbs
valsartan-hydrochlorothiazide (DIOVAN-HCT) 80-12.5 MG per tablet 1 Tablet,| 200284 |,tablet,974166,aceis_arbs
bumetanide (BUMEX) injection 0-3 mg,| 282486 |,mg,932745,aceis_arbs
furosemide (LASIX) injection 20-40 mg,| 727575 |,mg,956874,aceis_arbs
lisinopril (ZESTRIL) tablet 5 mg,| 311354 |,mg,1308216,aceis_arbs
furosemide (LASIX) 500 mg in 50 mL infusion,| 727575 |,mg/hr,956874,aceis_arbs
captopril (CAPOTEN) tablet 50 mg,| 317173 |,mg,1340128,aceis_arbs
*telmisartan-hydroCHLOROthiazide (MICARDIS HCT) 80-25 MG - patient supplied,| 477130 |,tablet,974166,aceis_arbs
benazepril (LOTENSIN) tablet 40 mg,| 898719 |,mg,1335471,aceis_arbs
triamterene-hydrochlorothiazide (DYAZIDE) 37.5-25 MG each 1 Each,| 198316 |,capsule,904542,aceis_arbs
